,brand,name,price,Dòng xe:,Năm sản xuất:,Số km đã đi:,Động cơ:,Hộp số:,Xuất xứ:,Màu sắc:
102,Porsche, Panamera 3.6AT 2014,"3,800 tỷ",Porsche Panamera,2014,20.000 km,Xăng 3.6L,Tự động,Nhập khẩu,Đen
103,Ford, Ranger XLS AT 2015,610 triệu,Ford Ranger,2015,35.000 km,Diesel ,Tự động,Nhập khẩu,Bạc
104,Ford, Everest 2.5MT 2014,749 triệu,Ford Everest,2014,53.000 km,Diesel 2.5L,Số sàn,Lắp ráp trong nước,Hồng phấn
105,Ford, Everest 2.5AT 2008,470 triệu,Ford Everest,2008,87.000 km,Diesel 2.5L,Tự động,Lắp ráp trong nước,Đen
106,Ford, Mondeo 2.5AT 2004,232 triệu,Ford Mondeo,2004,87.000 km,Xăng 2.5L,Tự động,Lắp ráp trong nước,Đen
107,Ford, Ranger XLS MT 2012,499 triệu,Ford Ranger,2012,62.000 km,Diesel ,Số sàn,Nhập khẩu,Nâu
108,Ford, Everest 2.5MT 2008,444 triệu,Ford Everest,2008,73.000 km,Diesel 2.5L,Số sàn,Lắp ráp trong nước,Đen
109,Ford, Transit 2.4MT 2012,520 triệu,Ford Transit,2012,190.000 km,Diesel 2.4L,Số sàn,Lắp ráp trong nước,Bạc
110,Ford, Laser 1.6MT 2003,225 triệu,Ford Laser,2003,115.000 km,Xăng 1.6L,Số sàn,Lắp ráp trong nước,Bạc
111,Ford,  Focus 1.8MT 2008,345 triệu,Ford Focus,2008,11.000 km,Xăng 1.8L,Số sàn,Lắp ráp trong nước,Trắng
112,Toyota, Camry G 2.4AT 2011,815 triệu,Toyota Camry,2011,60.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Đen
113,Ford, Fiesta 1.6AT 2011,375 triệu,Ford Fiesta,2011,80.450 km,Xăng 1.6L,Tự động,Lắp ráp trong nước,Xanh lá
114,Hyundai, Getz 1.1MT 2010,325 triệu,Hyundai Getz,2010,75.891 km,Xăng 1.1L,Số sàn,Nhập khẩu,Bạc
115,Mercedes-Benz, S-Class S400 3.0AT 2015,"3,550 tỷ",Mercedes-Benz S-class,2015,13.000 km,Xăng 3.0L,Tự động,Nhập khẩu,Đen
116,KIA, Sedona 3.3AT 2016,"1,220 tỷ",KIA Sedona,2016,3.000 km,Xăng 3.3L,Tự động,Lắp ráp trong nước,Đen
117,Lexus, GX350 3.5AT 2009,"1,850 tỷ",Lexus GX,2009,64.360 km,Xăng 3.5L,Tự động,Nhập khẩu,Trắng
118,Hyundai, Santafe SLX 2.0AT 2008,700 triệu,Hyundai Santafe,2008,50.000 km,Diesel 2.0L,Tự động,Nhập khẩu,Đen
119,KIA, Morning 1.25AT 2016,405 triệu,Kia Morning,2016,8.000 km,Xăng 1.25L,Tự động,Lắp ráp trong nước,Đỏ
120,Hyundai, Avante 1.6AT 2011,429 triệu,Hyundai Avante,2011,50.000 km,Xăng 1.6L,Tự động,Lắp ráp trong nước,Ghi xám
121,Toyota, Corolla Altis 1.8AT 2014,710 triệu,Toyota Altis,2014,40.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Đen
122,Mitsubishi, Zinger 2.4MT 2010,355 triệu,Mitsubishi Zinger,2010,44.000 km,Xăng 2.4L,Số sàn,Lắp ráp trong nước,Bạc
123,Mitsubishi, Jolie 2.0MT 2006,188 triệu,Mitsubishi Jolie,2006,120.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Vàng cát
124,Mitsubishi, Mirage 1.2AT 2014,430 triệu,Mitsubishi Mirage,2014,23.000 km,Xăng 1.2L,Tự động,Lắp ráp trong nước,Trắng
125,Mitsubishi, Jolie 2.0MT 2005,253 triệu,Mitsubishi Jolie,2005,110.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Đen
126,Ford, Mondeo 2.5AT 2004,245 triệu,Ford Mondeo,2004,70.000 km,Xăng 2.5L,Tự động,Lắp ráp trong nước,Vàng cát
127,Ford, EcoSport 1.5AT 2015,560 triệu,Ford EcoSport,2015,13.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Trắng
128,Ford, Ranger 3.2AT 2015,675 triệu,Ford Ranger,2015,55.000 km,Diesel 3.2L,Tự động,Nhập khẩu,Trắng
129,Ford, EcoSport 1.5AT 2015,595 triệu,Ford EcoSport,2015,1.170 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Nâu
130,Ford, Ranger XLS MT 2016,585 triệu,Ford Ranger,2016,30.000 km,Diesel ,Số sàn,Nhập khẩu,Trắng
131,Ford, Everest 2.5MT 2009,475 triệu,Ford Everest,2009,75.000 km,Diesel 2.5L,Số sàn,Lắp ráp trong nước,Bạc
132,Ford, Everest 2.5MT 2005	,308 triệu,Ford Everest,2005,125.000 km,Diesel 2.5L,Số sàn,Lắp ráp trong nước,Bạc
133,Ford, Focus 1.8AT 2012,438 triệu,Ford Focus,2012,59.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Vàng cát
134,Ford, Escape 2.3AT 2005,335 triệu,Ford Escape,2005,92.000 km,Xăng 2.3L,Tự động,Lắp ráp trong nước,Đen
135,Ford, Fiesta AT 2011,430 triệu,Ford Fiesta,2011,100.000 km,Xăng ,Tự động,Lắp ráp trong nước,Vàng cát
136,Ford, Laser 1.8MT 2000,168 triệu,Ford Laser,2000,110.000 km,Xăng 1.8L,Số sàn,Lắp ráp trong nước,Bạc
137,Ford, Fiesta 1.5AT 2015,489 triệu,Ford Fiesta,2015,23.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Trắng
138,Ford, Focus 1.6AT 2014,525 triệu,Ford Focus,2014,20.000 km,Xăng 1.6L,Tự động,Lắp ráp trong nước,Trắng
139,Ford, Fiesta 1.6AT 2014,450 triệu,Ford Fiesta,2014,20.000 km,Xăng 1.6L,Tự động,Lắp ráp trong nước,Đỏ
140,Ford, Escape 3.0AT 2004,265 triệu,Ford Escape,2004,95.000 km,Xăng 3.0L,Tự động,Lắp ráp trong nước,Đen
141,Ford, Focus 1.8AT 2012,465 triệu,Ford Focus,2012,56.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Đỏ
142,Ford, Laser 1.6MT 2002,186 triệu,Ford Laser,2002,15.000 km,Xăng 1.6L,Số sàn,Lắp ráp trong nước,Xanh da trời
143,Mercedes-Benz, GLK250AMG 2.0AT 2015,"1,560 tỷ",Mercedes-Benz GLK-class,2015,15.000 km,Xăng 2.0,Tự động,Nhập khẩu,Trắng
144,Honda, Civic 2.0AT 2014,698 triệu,Honda Civic,2014,51.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Trắng
145,Hyundai, Tucson 2.0AT 2009,450 triệu,Hyundai Tucson,2009,62.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Đen
146,Toyota, Vios G 1.5AT 2016,615 triệu,Toyota Vios,2016,10.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Vàng cát
147,Hyundai, i10 1.0MT 2015,385 triệu,Hyundai i10,2015,30.000 km,Xăng 1.0L,Số sàn,Nhập khẩu,Bạc
148,Nissan, Teana 2.0AT 2010,625 triệu,Nissan Teana,2010,61.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Đen
149,Toyota, Innova G 2.0MT 2008,480 triệu,Toyota Innova,2008,80.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
150,Toyota, Vios E 1.5MT 2010,390 triệu,Toyota Vios,2010,79.000 km,Xăng 1.5L,Số sàn,Lắp ráp trong nước,Bạc
151,Toyota, Vios E 1.5MT 2011,395 triệu,Toyota Vios,2011,180.000 km,Xăng 1.5L,Số sàn,Lắp ráp trong nước,Vàng cát
152,Toyota, Innova G 2.0MT 2008,535 triệu,Toyota Innova,2008,100.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Ghi xám
153,Toyota, Innova G 2.0MT 2012,615 triệu,Toyota Innova,2012,50.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Vàng cát
154,Toyota, Innova G 2.0MT 2008 ,485 triệu,Toyota Innova,2008,88.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
155,Toyota, Innova G 2.0MT 2011,508 triệu,Toyota Innova,2011,60.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
156,Toyota, Vios E 1.5MT 2010,365 triệu,Toyota Vios,2010,65.000 km,Xăng 1.5L,Số sàn,Lắp ráp trong nước,Bạc
157,Toyota, Vios G 1.5AT 2008,455 triệu,Toyota Vios,2008,61.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Bạc
158,Toyota, Innova G 2.0MT 2011 ,506 triệu,Toyota Innova,2011,60.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Vàng cát
159,Toyota, Innova G 2.0MT 2010,550 triệu,Toyota Innova,2010,76.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
