,brand,name,price,Dòng xe:,Năm sản xuất:,Số km đã đi:,Động cơ:,Hộp số:,Xuất xứ:,Màu sắc:
369,Mitsubishi, Jolie 2.0MT 2005,245 triệu,Mitsubishi Jolie,2005,110.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Ghi xám
370,Mitsubishi, Grandis 2.4AT 2006,435 triệu,Mitsubishi Grandis,2006,69.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Bạc
371,Mitsubishi, Xe Grandis Mivec 2.4AT ,580 triệu,Mitsubishi Grandis,2009,63.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Bạc
372,Mitsubishi, Zinger GLS 2.4MT 2009,405 triệu,Mitsubishi Zinger,2009,50.000 km,Xăng 2.4L,Số sàn,Lắp ráp trong nước,Bạc
373,KIA, Forte 1.6MT 2012,460 triệu,Kia Forte,2012,30.000 km,Xăng 1.6L,Số sàn,Lắp ráp trong nước,Bạc
374,Ford, Focus 2.0AT 2013,640 triệu,Ford Focus,2013,48.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Trắng
375,Toyota, Corolla Altis 1.8G 2009,520 triệu,Toyota Altis,2009,75.693 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Đen
376,Toyota, Innova 2.0V 2008,495 triệu,Toyota Innova,2008,61.667 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Bạc
377,Toyota, Innova 2.0G 2008,480 triệu,Toyota Innova,2008,115.300 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
378,Toyota, Innova 2.0MT 2007,415 triệu,Toyota Innova,2007,95.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
379,Honda, Civic 1.8MT 2008,415 triệu,Honda Civic,2008,87.000 km,Xăng 1.8L,Số sàn,Lắp ráp trong nước,Ghi xám
380,Hyundai, Accent 1.4AT 2011,389 triệu,Hyundai Accent,2010,60.000 km,Xăng 1.4L,Tự động,Nhập khẩu,Trắng
381,Hyundai, Santafe 2.0AT 2011,868 triệu,Hyundai Santafe,2011,30.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Nâu
382,Hyundai, i20 1.4AT 2011,458 triệu,Hyundai i20,2011,47.000 km,Xăng 1.4L,Tự động,Nhập khẩu,Bạc
383,Hyundai, Avante 1.6AT 2013,482 triệu,Hyundai Avante,2013,25.000 km,Xăng 1.6L,Tự động,Nhập khẩu,Ghi xám
384,Toyota, Fortuner V 2012 ,770 triệu,Toyota Fortuner,2012,40.000 km,Xăng 2.7L,Tự động,Lắp ráp trong nước,Đen
385,Hyundai, Grand i10 1.0MT 2016,389 triệu,Hyundai i10,2016,20.000 km,Xăng 1.0L,Số sàn,Nhập khẩu,Trắng
386,KIA, Morning Van 1.0AT 2014,295 triệu,Kia Morning,2014,15.000 km,Xăng 1.0L,Tự động,Nhập khẩu,Đỏ
387,Hyundai, Accent 1.4AT 2013,480 triệu,Hyundai Accent,2013,38.142 km,Xăng 1.4L,Tự động,Nhập khẩu,Trắng
388,Toyota, Vios E 1.5MT 2012,455 triệu,Toyota Vios,2012,80.000 km,Xăng 1.5L,Số sàn,Lắp ráp trong nước,Bạc
389,Hyundai, Accent 1.4AT 2012,480 triệu,Hyundai Accent,2012,34.300 km,Xăng 1.4L,Tự động,Nhập khẩu,Trắng
390,Toyota, Innova G 2.0MT 2011,580 triệu,Toyota Innova,2011,110.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
391,Toyota, Highlander SE 2011,"1,400 tỷ",Toyota Highlander,2011,60.000 km,Xăng 2.7L,Tự động,Nhập khẩu,Vàng cát
392,Hyundai, Accent 1.4AT 2013,485 triệu,Hyundai Accent,2013,52.000 km,Xăng 1.4L,Tự động,Nhập khẩu,Bạc
393,Honda, CR-V 2.4AT 2009 ,660 triệu,Honda CR-V,2009,70.000 km,Xăng 2.4L,Tự động,Nhập khẩu,Ghi xám
394,Hyundai, Tucson 2.0AT 2012,690 triệu,Hyundai Tucson,2012,47.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Bạc
395,Honda, Civic 1.8AT 2008,455 triệu,Honda Civic,2008,50.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Bạc
396,Honda, CR-V 2.0AT 2009,659 triệu,Honda CR-V,2009,70.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Đen
397,Hyundai, Santafe 2.2AT 2006,520 triệu,Hyundai Santafe,2006,98.000 km,Xăng 2.2L,Tự động,Nhập khẩu,Ghi xám
398,Honda, Accord 2.4AT 2008 ,650 triệu,Honda Accord,2008,49.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Đen
399,Honda,  CR-V 2.4AT 2014,990 triệu,Honda CR-V,2014,20.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Trắng
400,Honda,  City 1.5CVT 2016,595 triệu,Honda City,2016,3.000 km,Xăng 1.5L,Vô cấp,Lắp ráp trong nước,Trắng
401,Honda, CR-V 2.4AT 2015,"1,050 tỷ",Honda CR-V,2014,20.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Nâu
402,Honda,  Civic 2.0AT 2009,465 triệu,Honda Civic,2009,60.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Bạc
403,Mitsubishi, Grandis 2.4AT 2008,540 triệu,Mitsubishi Grandis,2008,82.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Đồng
404,Ford, Focus 1.6MT 2012,485 triệu,Ford Focus,2012,40.000 km,Xăng 1.6L,Số sàn,Lắp ráp trong nước,Đồng
405,Chevrolet, Captiva Maxx 2.4AT LTZ 2009,455 triệu,Chevrolet Captiva,2009,81.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Bạc
406,Ford, Everest 2.5AT 2013,755 triệu,Ford Everest,2013,60.000 km,Diesel 2.5L,Tự động,Lắp ráp trong nước,Trắng
407,Lexus, LX570 5.7AT 2010,"2,950 tỷ",Lexus LX,2010,67.000 km,Xăng 5.7L,Tự động,Nhập khẩu,Bạc
408,Honda, Civic 2.0AT 2008,475 triệu,Honda Civic,2008,75.990 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đen
409,Toyota, Camry 2.5AT 2010 ,"1,030 tỷ",Toyota Camry,2010,47.600 km,Xăng 2.5L,Tự động,Nhập khẩu,Đen
410,Chevrolet, Captiva 2.4MT 2009,415 triệu,Chevrolet Captiva,2009,36.700 km,Xăng 2.4L,Số sàn,Lắp ráp trong nước,Đen
411,Ford, Everest 2.5AT 2011,615 triệu,Ford Everest,2011,70.000 km,Diesel 2.5L,Tự động,Lắp ráp trong nước,Đen
412,KIA, Kia Carens 2.0AT 2007,395 triệu,KIA Carens,2007,80.000 km,Diesel 2.0L,Tự động,Nhập khẩu,Đen
413,Ford, Focus 1.8AT 2011,460 triệu,Ford Focus,2011,48.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Đỏ
414,Ford, EcoSport 1.5AT 2014,545 triệu,Ford EcoSport,2014,38.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Đỏ
415,Toyota, Fortuner V 2.7AT 2009,645 triệu,Toyota Fortuner,2009,87.700 km,Xăng 2.7L,Tự động,Lắp ráp trong nước,Bạc
416,Ford, EcoSport 1.5AT 2014,528 triệu,Ford EcoSport,2014,35.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Bạc
417,KIA, Carens 2.0MT 2012,439 triệu,KIA Carens,2012,60.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Ghi xám
418,KIA, Rio 1.4AT 2014,515 triệu,KIA Rio,2014,20.000 km,Xăng 1.4L,Tự động,Nhập khẩu,Trắng
419,KIA, Morning 1.0MT 2011,345 triệu,Kia Morning,2011,45.000 km,Xăng 1.0L,Số sàn,Nhập khẩu,Ghi xám
420,Toyota, Innova G 2.0MT 2011 ,576 triệu,Toyota Innova,2011,55.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
421,Toyota, Innova G 2.0MT 2012 ,615 triệu,Toyota Innova,2012,190.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
422,Toyota, Innova E  2.0MT 2012 ,615 triệu,Toyota Innova,2012,68.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
423,Toyota, Camry LE 2008 ,728 triệu,Toyota Camry,2008,60.000 km,Xăng 2.4L,Tự động,Nhập khẩu,Đen
424,Toyota, Camry LE 2008 ,785 triệu,Toyota Camry,2008,52.000 km,Xăng 3.5L,Tự động,Nhập khẩu,Đen
425,Toyota, Vios  E 1.5MT 2013.,475 triệu,Toyota Vios,2013,52.000 km,Xăng 1.5L,Số sàn,Lắp ráp trong nước,Đen
426,Toyota, Innova E 2.0MT 2014 ,690 triệu,Toyota Innova,2014,50.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
427,Toyota, Innova E  2.0MT 2015 ,715 triệu,Toyota Innova,2015,32.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
428,Toyota, Vios E 1.5MT 2011 ,370 triệu,Toyota Vios,2011,60.000 km,Xăng 1.5L,Số sàn,Lắp ráp trong nước,Đen
429,BMW, Series 3 320i LCI 2015,"1,290 tỷ",BMW Series 3,2015,32.180 km,Xăng 2.0L,Tự động,Nhập khẩu,Xanh Đen
430,Mercedes-Benz, GL500 4.7AT 2015,"4,650 tỷ",Mercedes-Benz GL-class,2014,58.000 km,Xăng 4.7L,Tự động,Nhập khẩu,Nâu
431,Mitsubishi, Triton 2.5AT 2015,540 triệu,Mitsubishi Triton,2015,70.000 km,Diesel 2.5L,Tự động,Nhập khẩu,Đen
432,Toyota, Vios G 1.5MT 2004,198 triệu,Toyota Vios,2004,200.000 km,Xăng 1.5L,Số sàn,Lắp ráp trong nước,Vàng cát
433,Volkswagen, Beetle 2.5AT 2008,620 triệu,Volkswagen Beetle,2008,30.000 km,Xăng 2.5L,Tự động,Nhập khẩu,Vàng
434,Mitsubishi, Pajero 3.0MT 2005,379 triệu,Mitsubishi Pajero,2005,100.000 km,Xăng 3.0L,Số sàn,Lắp ráp trong nước,Đen
435,BMW, Series 5 523i F10 2010,"1,170 tỷ",BMW Series 5,2010,38.899 km,Xăng 2.5L,Tự động,Nhập khẩu,Đen
436,Mercedes-Benz, C-Class C200 2.0AT 2016,"1,380 tỷ",Mercedes-Benz C-class,2016,13.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đen
437,Mitsubishi, Attrage 1.2AT 2014,419 triệu,Mitsubishi Attrage,2014,49.000 km,Xăng 1.2L,Tự động,Nhập khẩu,Trắng
438,Ford, Ranger 4x4 2.2MT 2015,550 triệu,Ford Ranger,2014,40.000 km,Diesel 2.2L,Số sàn,Lắp ráp trong nước,Đỏ đô
439,Mitsubishi, Jolie 2.0MT 2005,248 triệu,Mitsubishi Jolie,2005,85.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Xanh lá
440,Toyota, Hiace 2.7MT 2005,280 triệu,Toyota Hiace,2005,200.000 km,Diesel 2.7L,Số sàn,Lắp ráp trong nước,Bạc
441,Mitsubishi, Jolie 2.0MT 2004,235 triệu,Mitsubishi Jolie,2004,120.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Đỏ đô
442,BMW, Series 5 528i 2006,150 triệu,BMW Series 5,2006,200.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Đen
443,Toyota, Sienna Limited AWD 2015,"3,125 tỷ",Toyota Sienna,2015,8.000 km,Xăng 3.5L,Tự động,Nhập khẩu,Vàng cát
444,Toyota, Fortuner 2.7V 2015,900 triệu,Toyota Fortuner,2015,20.000 km,Xăng 2.7L,Tự động,Lắp ráp trong nước,Đen
445,KIA, Rio 1.4AT 2016,565 triệu,KIA Rio,2016,25.000 km,Xăng 1.4L,Tự động,Lắp ráp trong nước,Đỏ
446,Ford, Laser 1.8MT 2002,200 triệu,Ford Laser,2002,125.000 km,Xăng 1.8L,Số sàn,Lắp ráp trong nước,Đen
447,Ford, Ranger 3.2AT 2016,848 triệu,Ford Ranger,2016,18.000 km,Diesel 3.2L,Tự động,Nhập khẩu,Trắng
448,Ford, Everest 2.5MT 2008,455 triệu,Ford Everest,2008,67.000 km,Diesel 2.5L,Số sàn,Lắp ráp trong nước,Bạc
449,Ford, Escape 2.3AT 2004,280 triệu,Ford Escape,2004,82.000 km,Xăng 2.3L,Tự động,Lắp ráp trong nước,Đen
450,Ford, Laser 1.8MT 2003,223 triệu,Ford Laser,2003,20.000 km,Xăng 1.8L,Số sàn,Lắp ráp trong nước,Bạc
451,Ford, Everest 2.5MT 2011,600 triệu,Ford Everest,2011,42.000 km,Diesel 2.5L,Số sàn,Lắp ráp trong nước,Đen
452,Toyota, Highlander 3.5AT 2007,798 triệu,Toyota Highlander,2007,72.000 km,Xăng 3.5L,Tự động,Nhập khẩu,Đen
453,Land Rover, Range Rover Sport 5.0AT 2010,"2,100 tỷ",Land Rover All New Range Rover Sport,2010,35.000 km,Xăng 5.0L,Tự động,Nhập khẩu,Trắng
454,Honda, Accord 2.0MT 1989,75 triệu,Honda Accord,1989,20.000 km,Xăng 2.0L,Số sàn,Nhập khẩu,Đen
455,Honda, Accord 2.2MT 1992,120 triệu,Honda Accord,1992,270.000 km,Xăng 2.2L,Số sàn,Nhập khẩu,Xanh lá
456,Daewoo, Nubira 1.6AT 2002,110 triệu,,2002,19.000 km,Xăng 1.6L,Tự động,Lắp ráp trong nước,Đen
457,Audi, Q3 2.0AT 2012,"1,280 tỷ",Audi Q3,2012,30.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Trắng
458,Mercedes-Benz, C200 2.0AT 2015 ,"1,320 tỷ",Mercedes-Benz C-class,2015,30.600 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đen
459,Mercedes-Benz, E250 CGI 1.8AT 2010,"1,030 tỷ",Mercedes-Benz E-class,2010,40.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Đen
460,Mercedes-Benz, E250 AMG 2.0AT 2015,"1,950 tỷ",Mercedes-Benz E-class,2015,29.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Nâu
461,Mazda, 3 1.6MT 2004,320 triệu,Mazda 3,2004,130.000 km,Xăng 1.6L,Số sàn,Lắp ráp trong nước,Trắng
462,Mazda, 2 1.5AT 2016,567 triệu,Mazda 2,2016,7.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Trắng
463,Hyundai, Tucson 2.0AT 2015,950 triệu,Hyundai Tucson,2015,32.789 km,Xăng 2.0L,Tự động,Nhập khẩu,Đỏ
464,KIA, Sorento 2.4AT 2015,895 triệu,KIA Sorento,2015,27.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Trắng
465,KIA, Morning 1.25AT 2015,390 triệu,Kia Morning,2015,16.000 km,Xăng 1.25L,Tự động,Lắp ráp trong nước,Bạc
466,KIA, Morning Van 1.0AT 2013,272 triệu,Kia Morning,2013,1.560 km,Xăng 1.0L,Tự động,Nhập khẩu,Bạc
467,KIA, Morning 1.25AT 2015,393 triệu,Kia Morning,2015,33.000 km,Xăng 1.25L,Tự động,Lắp ráp trong nước,Đỏ
468,KIA, Rio 1.4AT 2015,465 triệu,KIA Rio,2015,9.000 km,Xăng 1.4L,Tự động,Nhập khẩu,Bạc
469,Toyota, Camry Q 2.5AT 2013,"1,019 tỷ",Toyota Camry,2013,29.000 km,Xăng 2.5L,Tự động,Lắp ráp trong nước,Vàng cát
470,Toyota, Fortuner G 2.5MT 2014,900 triệu,Toyota Fortuner,2014,50.000 km,Diesel 2.5L,Số sàn,Lắp ráp trong nước,Đen
471,Toyota, Yaris 1.5AT 2011,510 triệu,Toyota Yaris,2011,30.000 km,Xăng 1.5L,Tự động,Nhập khẩu,Bạc
472,Toyota,  Fortuner V 2.7AT 2009,640 triệu,Toyota Fortuner,2009,87.700 km,Diesel 2.7L,Tự động,Lắp ráp trong nước,Bạc
473,Toyota, Camry E 2.0AT 2013,840 triệu,Toyota Camry,2013,50.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Vàng cát
474,Toyota, Fortuner 2.5MT 2013,750 triệu,Toyota Fortuner,2013,45.000 km,Xăng 2.5L,Số sàn,Lắp ráp trong nước,Đen
475,Toyota, Innova 2.0MT 2009,510 triệu,Toyota Innova,2009,120.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
476,Ford, Focus S 2.0AT 2014,680 triệu,Ford Focus,2014,26.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Nâu
477,Ford, Everest 2.5MT 2012,615 triệu,Ford Everest,2012,84.000 km,Diesel 2.5L,Số sàn,Lắp ráp trong nước,Đen
478,Ford, Focus 2.0AT 2015,699 triệu,Ford Focus,2.0L,29.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Trắng
479,Toyota, Camry 2.0 E 2015,"1,000 tỷ",Toyota Camry,2015,7.600 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Vàng cát
480,Ford, Everest Limited 2009,620 triệu,Ford Everest,2009,95.000 km,Diesel 2.5L ,Tự động,Lắp ráp trong nước,Ghi xám
481,Hyundai, Sonata 2.0AT 2010,639 triệu,Hyundai Sonata,2010,60.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Đen
482,Hyundai, Santafe 2.0AT 2008,599 triệu,Hyundai Santafe,2008,76.000 km,Diesel 2.0L,Tự động,Nhập khẩu,Đen
483,Toyota, Yaris RS 2013 ,545 triệu,Toyota Yaris,2013,36.000 km,Xăng 1.5L,Tự động,Nhập khẩu,Trắng
484,Mazda, CX-9 AWD 3.7AT 2012,"1,166 tỷ",Mazda CX-9,2012,50.000 km,Xăng 3.7L,Tự động,Nhập khẩu,Xanh Đen
485,Ford, Everest 2.5AT 2012,615 triệu,Ford Everest,2012,84.000 km,Diesel 2.5L,Tự động,Lắp ráp trong nước,Đen
486,Ford, Focus S 2.0AT 2015,699 triệu,Ford Focus,2015,29.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Trắng
487,Mazda, 3 1.6AT 2011,505 triệu,Mazda 3,2011,37.000 km,Xăng 1.6L,Tự động,Nhập khẩu,Trắng
488,Nissan, Navara 2.5MT 2015,625 triệu,Nissan Navara,2015,55.000 km,Diesel 2.5L,Số sàn,Nhập khẩu,Ghi xám
489,Mazda, 2S 1.5AT 2013,465 triệu,Mazda 2,2013,38.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Trắng
490,Mazda, BT-50 3.2AT 2014,650 triệu,Mazda BT-50,2014,30.000 km,Diesel 3.2L,Tự động,Nhập khẩu,Vàng cát
491,Mazda, 6 2.0AT 2015,810 triệu,Mazda 6, 2015,10.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đỏ đô
492,Mazda, 3 2.0AT 2016,750 triệu,Mazda 3,2016,15.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đen
493,Mazda, 3 1.5AT 2015,650 triệu,Mazda 3,2015,18.000 km,Xăng 1.5L,Tự động,Nhập khẩu,Trắng
494,Mazda, 6 2.0AT 2011,655 triệu,Mazda 6,2011,48.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Bạc
495,Mazda, 3 2.0AT 2016,749 triệu,Mazda 3,2016,15.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đen
496,Hyundai, i10 1.2AT 2011 ,309 triệu,Hyundai i10,2010,36.000 km,Xăng 1.2L,Tự động,Nhập khẩu,Xanh Dương
497,Hyundai, Avante GDI 1.6AT 2010,650 triệu,Hyundai Avante,2010,40.000 km,Xăng 1.6L,Tự động,Nhập khẩu,Đen
498,KIA, Morning Si 1.25AT 2015,393 triệu,Kia Morning,2015,32.000 km,Xăng 1.25L,Tự động,Lắp ráp trong nước,Đỏ
499,Honda, Civic1.8AT 2008,430 triệu,Honda Civic,2008,145.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Đen
500,Honda, Civic 2.0AT 2007,420 triệu,Honda Civic,2007,76.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đen
501,Ford, Fiesta S 1.6AT 2012,419 triệu,Ford Fiesta,2012,56.000 km,Xăng 1.6L,Tự động,Lắp ráp trong nước,Vàng cát
502,Honda, Accord 2.0MT 1987,65 triệu,Honda Accord,1987,400.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Đen
503,Hyundai, Accent 1.4AT 2011,460 triệu,Hyundai Accent,2010,55.000 km,Xăng 1.4L,Tự động,Nhập khẩu,Bạc
504,Hyundai, Huyndai Accent 1.4AT 2012,540 triệu,Hyundai Accent,2012,6.176 km,Xăng 1.4L,Tự động,Nhập khẩu,Trắng
505,Hyundai, i20 Active 1.4AT 2015,575 triệu,Hyundai i20,2015,10.000 km,Xăng 1.4L,Tự động,Nhập khẩu,Đỏ đô
506,Hyundai, Getz 1.1MT 2009,285 triệu,Hyundai Getz,2009,70.000 km,Xăng 1.1L,Số sàn,Nhập khẩu,Xanh lá
507,Chevrolet, Cruze LTZ 1.8AT 2015,580 triệu,Chevrolet Cruze  ,2015,32.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Ghi xám
508,Chevrolet, Cruze LT 1.6MT 2016,535 triệu,Chevrolet Cruze  ,2016,10.000 km,Xăng 1.6L,Số sàn,Lắp ráp trong nước,Bạc
509,Chevrolet, Chevlolet Spark LT 1.2MT 2012,250 triệu,Chevrolet Spark,2012,30.000 km,Xăng 1.2L,Số sàn,Lắp ráp trong nước,Bạc
510,Chevrolet, Cruze 1.6MT 2016,519 triệu,Chevrolet Cruze  ,2016,25.000 km,Xăng 1.6L,Số sàn,Lắp ráp trong nước,Đen
511,Chevrolet, Captiva Maxx 2.0MT 2010,486 triệu,Chevrolet Captiva,2010,65.000 km,Diesel 2.0L,Số sàn,Lắp ráp trong nước,Bạc
512,Chevrolet, Captiva 2.4AT 2009,450 triệu,Chevrolet Captiva,2009,130.000 km,Diesel 2.4L,Tự động,Lắp ráp trong nước,Vàng cát
513,Chevrolet, Cruze LT 1.6MT 2016,528 triệu,Chevrolet Cruze  ,2016,10.000 km,Xăng 1.6L,Số sàn,Lắp ráp trong nước,Đen
514,Chevrolet, Vivant 2.0MT 2009,250 triệu,Chevrolet Vivant ,2009,91.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Vàng cát
515,Chevrolet, Aveo LTZ 1.5AT 2016,445 triệu,Chevrolet Aveo,2016,20.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Trắng
516,Chevrolet, Spark 1.2MT 2009,152 triệu,Chevrolet Spark,2009,65.000 km,Xăng 1.2L,Số sàn,Lắp ráp trong nước,Ghi xám
517,Chevrolet, Aveo 1.5MT 2016,390 triệu,Chevrolet Aveo,2016,15.000 km,Xăng 1.5L,Số sàn,Lắp ráp trong nước,Trắng
518,Chevrolet, Spark Van 1.2MT 2016,240 triệu,Chevrolet Spark Van,2016,9.414 km,Xăng 1.2L,Số sàn,Lắp ráp trong nước,Đỏ
519,Chevrolet, Cruze LS 1.6MT 2015	,505 triệu,Chevrolet Cruze  ,2015,15.000 km,Xăng 1.6L,Số sàn,Lắp ráp trong nước,Trắng
520,Chevrolet, Cruze LS 1.6MT 2015,485 triệu,Chevrolet Cruze  ,2015,37.000 km,Xăng 1.6L,Số sàn,Lắp ráp trong nước,Vàng cát
521,Chevrolet, Spark LS 1.2MT 2016,360 triệu,Chevrolet Spark,2016,6.600 km,Xăng 1.2L,Số sàn,Lắp ráp trong nước,Trắng
522,Mazda, 6 2.0MT 2004,295 triệu,Mazda 6,2004,117.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
523,Chevrolet, Spark Duo 1.2MT 2016,235 triệu,Chevrolet Spark Duo,2016,14.000 km,Xăng 1.2L,Số sàn,Lắp ráp trong nước,Bạc
524,Mazda, 6 2.0MT 2003,280 triệu,Mazda 6,2003,8.000 km,Xăng 2.0L,Số sàn,Nhập khẩu,Hồng phấn
525,Chevrolet, Cruze LTZ 1.8AT 2011,430 triệu,Chevrolet Cruze  ,2011,50.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Vàng cát
526,Chevrolet, Cruze LT 1.6MT 2016,515 triệu,Chevrolet Cruze  ,2016,6.000 km,Xăng 1.6L,Số sàn,Lắp ráp trong nước,Đỏ
527,Mazda, Premacy 1.8AT 2005,282 triệu,Mazda Premacy,2005,98.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Nâu
528,Chevrolet, Vivant 2.0AT 2009,265 triệu,Chevrolet Vivant ,2009,61.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Bạc
529,Mazda, 6 2.0AT 2015,820 triệu,Mazda 6,2015,18.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đen
530,Mazda, BT-50 3.2AT 2014,630 triệu,Mazda BT-50,2014,68.000 km,Diesel 3.2L,Tự động,Nhập khẩu,Ghi xám
531,Chevrolet, Captiva 2.4AT 2007,375 triệu,Chevrolet Captiva,2007,80.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Vàng cát
532,Mazda, 3S 1.5AT 2013,565 triệu,Mazda 3,2013,45.000 km,Xăng 1.5L,Tự động,Lắp ráp trong nước,Bạc
533,Toyota, Innova G 2008 ,470 triệu,Toyota Innova,2008,180.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Vàng cát
534,Mazda, Premacy 1.8AT 2003,255 triệu,Mazda Premacy,2003,115.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Xanh da trời
535,Ford, Focus 1.8AT 2011 ,425 triệu,Ford Focus,2011,30.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Bạc
536,Mazda, 2S 1.5AT 2014,428 triệu,Mazda 2,2014,42.000 km,Xăng 1.5L,Tự động,Nhập khẩu,Bạc
537,Honda, Civic 1.8AT 2011,535 triệu,Honda Civic,2010,50.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Bạc
538,KIA, Cerato 1.6 AT 2010,500 triệu,Kia Cerato,2010,55.000 km,Xăng 1.6L,Tự động,Lắp ráp trong nước,Bạc
539,Toyota, Fortuner 2.7AT 2013,765 triệu,Toyota Fortuner,2013,40.000 km,Xăng 2.7L,Tự động,Lắp ráp trong nước,Bạc
540,Toyota, Innova 2.0AT 2010,565 triệu,Toyota Innova,2010,70.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Đen
541,Mazda, 6 2.0AT 2016,910 triệu,Mazda 6,2016,4.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Trắng
542,Toyota, Fortuner 2.7AT 2012,778 triệu,Toyota Fortuner,2012,49.000 km,Xăng 2.7L,Tự động,Lắp ráp trong nước,Bạc
543,Ford, Ranger 2.2AT 2014,565 triệu,Ford Ranger,2014,56.000 km,Diesel 2.2L,Tự động,Nhập khẩu,Xanh da trời
544,Ford, Ranger 2.5MT 2007,260 triệu,Ford Ranger,2007,125.000 km,Diesel 2.5L,Số sàn,Lắp ráp trong nước,Đen
545,Ford, Laser 1.8AT 2002,227 triệu,Ford Laser,2002,110.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Đen
546,Ford, Escape 2.3AT 2009,475 triệu,Ford Escape,2009,77.000 km,Xăng 2.3L,Tự động,Lắp ráp trong nước,Ghi xám
547,Ford, Ranger 2.5MT 2009,330 triệu,Ford Ranger,2009,110.000 km,Diesel 2.5L,Số sàn,Nhập khẩu,Vàng cát
548,Ford, Everest 2.5MT 2005,345 triệu,Ford Everest,2005,93.000 km,Diesel 2.5L,Số sàn,Lắp ráp trong nước,Đen
